"","average","sd","ratio","ava","avb","cumsum","contrib","Domain","Phylum","Class","Order","Family","Genus","Species"
"5cc507dc6163139347ddc653ad07527b",0.0144502417918045,0.00750185221502893,1.92622320163219,568.6,878,0.0464578687887405,0.0464578687887405,"D_0__Bacteria","D_1__Cyanobacteria","D_2__Melainabacteria","D_3__Gastranaerophilales","unclassified","unclassified","unclassified"
"ad74e21566bd5c1a1dba1ae394bda71b",0.0132126495291423,0.00755086460621837,1.74981942044905,1421.6,1222.5,0.0889368492113823,0.0424789804226418,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Prevotellaceae","D_5__Prevotellaceae UCG-003","unclassified"
"7b28c20e72c6c95b3e604f0849245770",0.0120355052176126,0.0115479586970442,1.04221928163747,4.2,382.5,0.127631282859072,0.0386944336476894,"D_0__Bacteria","D_1__Verrucomicrobia","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__Verrucomicrobiaceae","D_5__Akkermansia","D_6__uncultured bacterium"
"9fd2ab2f88f10ef6d386289b4ce9b85d",0.0114564774751845,0.00865350846772974,1.32391128036767,1337.4,1476.5,0.164464128633676,0.0368328457746047,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Prevotellaceae","D_5__Prevotellaceae UCG-001","D_6__uncultured bacterium"
"cf3834c689d1e21ec89b463e7adbdc56",0.0114023924662764,0.00781007522017295,1.45995936592579,1328.8,1320,0.201123089826729,0.0366589611930528,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","D_5__uncultured bacterium","D_6__"
"a1a82fea6daa7cc70012da4abc952a53",0.00656973784678035,0.00548673798933702,1.19738501447455,775.2,893,0.222244952232883,0.0211218624061535,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"8c36acbb118d3619074dafe358f74726",0.00645838635785187,0.00381205394991599,1.69420119513109,537.6,424,0.243008816971135,0.0207638647382526,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"b2187a3d7f41a43e260188927383d7c9",0.00572505726648002,0.00377042618379161,1.51841117884525,67.4,200.25,0.26141501135364,0.0184061943825052,"D_0__Bacteria","D_1__Cyanobacteria","D_2__Melainabacteria","D_3__Gastranaerophilales","D_4__uncultured bacterium","D_5__","D_6__"
"dacc0d0e6c02ff3025508fb5feb7ba4d",0.00568369814202087,0.00378113208194779,1.50317365774036,467.4,338.75,0.279688235173782,0.018273223820142,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides","D_6__uncultured bacterium"
"f7931e842cdbe3e397b3362b54c3ec04",0.00529078645965895,0.0047038014861087,1.12478948681906,105.4,160,0.296698238651474,0.0170100034776917,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","unclassified","unclassified"
"70d9b060e6c0b37c28dd6b1b6073baaa",0.00504899465512853,0.00278156121710712,1.81516575082953,234.2,183.5,0.312930875764581,0.0162326371131068,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","unclassified"
"17eb6e2057b5ea491f2769fa47098063",0.00451450750827182,0.00246666671941768,1.83020570745674,425.8,330,0.327445124071763,0.0145142483071825,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"1930d2ae4018583d606e705beea31bd1",0.00431407482820056,0.00231980930625081,1.85966786863736,439,349,0.341314976576724,0.0138698525049609,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"ae94aa5faaa29c5abe3821ae721ab961",0.00418840671926699,0.00145274540321751,2.88309755445833,230.4,98.75,0.354780803142197,0.0134658265654726,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Flavobacteriia","D_3__Flavobacteriales","D_4__Flavobacteriaceae","D_5__uncultured","D_6__gut metagenome"
"32ec3cfeb985935ada4d80c0d975515d",0.00416772715703741,0.000890034144742832,4.68265985260784,0,131,0.368180144426488,0.013399341284291,"D_0__Bacteria","D_1__Cyanobacteria","D_2__Melainabacteria","D_3__Gastranaerophilales","D_4__uncultured bacterium","D_5__","D_6__"
"f35d557643ef4d3a4d791733f55bb8c5",0.00406751081700178,0.00310694336120979,1.30916799700461,3.4,131.25,0.381257287809668,0.0130771433831803,"D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhodospirillales","D_4__Rhodospirillaceae","D_5__uncultured","D_6__gut metagenome"
"8116ebc571dfa0ef0546a312249c92dd",0.00370959531687452,0.00284243615457216,1.30507603870276,162.6,172.5,0.393183724403167,0.0119264365934987,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"c0d5dcb7d80d5dae81f286d953193674",0.0035648383812675,0.00243581861301604,1.46350732448567,138.8,190.75,0.404644764028394,0.0114610396252276,"D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhodospirillales","D_4__Rhodospirillaceae","D_5__uncultured","D_6__gut metagenome"
"910b78264082ec5783a86a30e4f5777d",0.00354097734792568,0.00593500317969276,0.596626023730115,97.8,22.5,0.416029089867643,0.0113843258392488,"D_0__Bacteria","D_1__Tenericutes","D_2__Mollicutes","D_3__Mollicutes RF9","unclassified","unclassified","unclassified"
"ffddcb26606f32e6b6793b6892b7fa47",0.00334372613896666,0.0025738350706284,1.29912214544123,302.2,247,0.426779248409468,0.0107501585418244,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Allobaculum","D_6__uncultured bacterium"
"c4f8c63b067c319e67ae3361e4c13d88",0.00330236701450751,0.00244143557232504,1.35263328344257,189.4,233.5,0.437396436388929,0.0106171879794612,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"361d4032e96b3d610c2d03fd4edab9d6",0.00308443624331891,0.00158612327148891,1.94463841415271,54.6,150.75,0.447312971789784,0.00991653540085513,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Allobaculum","D_6__uncultured bacterium"
"0ebb2cf4a2017aeaefadf9ae5062eb62",0.00300967167218122,0.00232764979061387,1.29300880412404,188.6,154,0.456989137327905,0.00967616553812162,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","D_5__uncultured bacterium","D_6__"
"33456995a5088121155d07a039829944",0.0029555866632731,0.00160990644902357,1.83587478953557,431.8,408,0.466491418284475,0.00950228095656974,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","D_5__uncultured bacterium","D_6__"
"fa9ef08fdf28bde35ae0048689a24ea4",0.00289672944769661,0.00317866473792267,0.911303860749308,360.2,298.75,0.475804471902297,0.0093130536178222,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Prevotellaceae","D_5__Prevotellaceae UCG-003","D_6__uncultured bacterium"
"d86555b17ef784666569fb727218f1a7",0.00277265207431917,0.00131658917986838,2.10593563787023,21.6,108.75,0.48471861383303,0.00891414193073253,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Allobaculum","D_6__uncultured bacterium"
"2ef1e51ab1cf99a3c6417b05a060830e",0.00275515398320183,0.00252741589291505,1.09010708958711,89.6,44.5,0.493576498987378,0.00885788515434816,"D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus reuteri"
"aa43e7fda307d6ea50cfe7c933b04cf1",0.00272652074319165,0.00400046031577541,0.681551753541935,17.8,92.5,0.502342327598552,0.00876582861117364,"D_0__Bacteria","D_1__Tenericutes","D_2__Mollicutes","D_3__NB1-n","unclassified","unclassified","unclassified"
"051efcb9e378fa3eddd9aad045a98946",0.00271061338763044,0.00218065724979488,1.24302587574705,199.4,121.5,0.511057013685739,0.00871468608718773,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"de6d4db1f82eeba7ec07206846619c2c",0.00262153219648766,0.00334904806778767,0.782769355179605,85.4,48,0.519485301638607,0.0084282879528671,"D_0__Bacteria","D_1__Cyanobacteria","D_2__Melainabacteria","D_3__Gastranaerophilales","D_4__uncultured bacterium","D_5__","D_6__"
"7dca3c9a3e8e9bfe97c5e30b41a13690",0.00261198778315093,0.00345979680963864,0.754954099002056,62.6,32.5,0.527882904077082,0.00839760243847554,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"10ff4631cc5198bb5add391eccbd5a09",0.00251495291422754,0.00223134271505913,1.12710293100847,109,177.25,0.535968537119244,0.00808563304216181,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__[Eubacterium] coprostanoligenes group","unclassified"
"b6b86531ef8d5b24a2b1f0d0cbb40c76",0.00245768643420718,0.00330397486142098,0.743857485994967,0,77.25,0.543870057075057,0.0079015199558129,"D_0__Bacteria","D_1__Cyanobacteria","D_2__Melainabacteria","D_3__Gastranaerophilales","D_4__uncultured bacterium","D_5__","D_6__"
"09d271cb58634d809f9bc484cdc72a1b",0.00243064392975312,0.000942613345512449,2.57862244506172,5.6,82,0.551684634740094,0.0078145776650369,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"bf5992e4dbb2b2a4847e23294f937de5",0.00241314583863579,0.00144509788001769,1.66988400716929,66.4,95.75,0.559442955628746,0.00775832088865258,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcus 1","unclassified"
"14263ef7917a9a44fe10c91135f8e5c1",0.00240201068974294,0.00160578472974902,1.49584850649213,152.4,121,0.567165476750609,0.00772252112186234,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"2fbde2fd59b79888ffb1dc2d2f99eb94",0.00225725375413591,0.00164271464605743,1.37409973153487,117.2,51.75,0.5744226009042,0.00725712415359125,"D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhodospirillales","D_4__Rhodospirillaceae","D_5__uncultured","unclassified"
"3b464b2c3ef760585938966db87f55c3",0.00219839653855943,0.0018620055095067,1.18066059812135,78.8,27.5,0.581490497719043,0.00706789681484365,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","unclassified"
"c052f0ff733fc06c74c28c5008c23508",0.00217771697632985,0.00193373933359134,1.12616883697835,54.8,55.75,0.588491909252705,0.00700141153366196,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","unclassified"
"c63cbe35e056507bffff8c2cc8b77f00",0.00217612624077373,0.0018490716788356,1.17687500472891,68.4,0,0.595488206533969,0.00699629728126339,"D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhodospirillales","D_4__Rhodospirillaceae","D_5__uncultured","D_6__gut metagenome"
"4b0db6686c40fe9d02a6d6c692e6af51",0.00210295240519216,0.00240860023725293,0.873101468922311,68.2,23,0.602249248204897,0.00676104167092861,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 6","D_6__uncultured bacterium"
"cb8b8a6ee6bcfa115f8b24a45fa1c12a",0.00201228047849326,0.00103307608653383,1.94785312013644,77,140.25,0.608718777489107,0.00646952928420919,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"9dffb412558adc62a4b4d40f6d14a38b",0.00200750827182489,0.00144924376618358,1.38521090700389,270.6,240.5,0.61517296401612,0.00645418652701346,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","D_5__uncultured bacterium","D_6__"
"6b08596cd7fa0727c16c28d4e0aacdbd",0.00199637312293204,0.00185959998076386,1.07354976531674,11.6,62.75,0.621591350776344,0.00641838676022344,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcus 1","D_6__unidentified"
"780ed610e01c40cf3cb8b3c75a28f3b7",0.00198841944515144,0.00158860757050898,1.25167441101541,229.6,242,0.627984166274574,0.00639281549823045,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"8323d5f6b77a53dc705a5df8a4766542",0.0018198014762026,0.00161191378352735,1.1289694863334,132,96.5,0.633834871018555,0.00585070474398053,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Allobaculum","D_6__uncultured bacterium"
"f5ffd05c1e22f1cdcd3e9f384e8cb317",0.00180548485619751,0.0017419175560191,1.03649271457123,44.2,85.25,0.639639547490948,0.00580467647239324,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"a9b24370bdb02a8ee91855de7b8b2813",0.00171163145838636,0.00130718143195997,1.30940618994256,127.4,78,0.645142483071825,0.00550293558087678,"D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium","D_6__uncultured bacterium"
"e5844d5be182a15a7e488938825fbc61",0.00162414100279969,0.00149058037634778,1.08960310263789,117.4,69.75,0.650364134770779,0.00522165169895472,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"063430d79b7534acdfb109b5002a7eca",0.00159073555612115,0.000932305040082275,1.70623936129399,65.6,37.5,0.655478387169364,0.00511425239858432,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","unclassified"
"5a2035d91c84d1a0192029472ff3bea7",0.0015716467294477,0.00105801822118098,1.4854628190556,49.4,0,0.660531268539165,0.00505288136980142,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","unclassified"
"0df6c802966e8670279671824da4f10a",0.00156369305166709,0.00148110793509886,1.05575901297343,52.8,12.75,0.665558578646973,0.00502731010780844,"D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","unclassified"
"11a5f0316ff4f3edb52c1b583a6e1448",0.00151119877831509,0.00121710557619807,1.24163327148307,21.4,47.5,0.670417118425629,0.00485853977865514,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","unclassified"
"58d4ed64dd78835f3e94fbef054c7918",0.00150006362942224,0.000926761641146477,1.61860780897939,102.2,86.25,0.675239858437494,0.004822740011865,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Allobaculum","D_6__uncultured bacterium"
"40712bb3e7a7b1a91d01095b8d6daa0a",0.00149529142275388,0.00108509302292813,1.37803063070005,95,54,0.680047255692163,0.00480739725466939,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","D_5__uncultured bacterium","D_6__"
"66deff5f5235adafa76ebd45e526df43",0.00141734538050394,0.000830362677184303,1.70689918929167,59.6,44.25,0.684604054579302,0.00455679888713867,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Allobaculum","D_6__uncultured bacterium"
"f35c69b2451ad0798bd48ea75e473737",0.0014141639093917,0.00171260519958832,0.825738418715325,4,46.25,0.689150624961643,0.00454657038234152,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcus 1","unclassified"
"e25569850d588fe3c59f79fc7d08ebb7",0.00139189361160601,0.000817587254126173,1.70244044850436,17.6,57.75,0.693625595810404,0.00447497084876125,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"b13f91dffb19d6f06230989274418f79",0.00138712140493764,0.000938989377094175,1.47724930523737,48.6,41.5,0.69808522390197,0.00445962809156564,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"441278444f24f94917527f2ed9e8a6a7",0.00127258844489692,0.000936808266930981,1.35842999023265,98,69,0.702176625820838,0.00409140191886748,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcus 1","unclassified"
"ece8f3889c05b3350152571f8dda9ab7",0.00126781623822856,0.000819890605470061,1.54632365558292,94.4,57.25,0.706252684982509,0.00407605916167175,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"8890ca9a814c0da36f2da0de3c3e87f6",0.00122645711376941,0.00109040557517428,1.12477149942431,31.2,31.75,0.710195773581818,0.00394308859930859,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides","D_6__uncultured bacterium"
"30598f0d14cb4af2c3150ebb17667b95",0.00120100534487147,0.00104807625413777,1.14591408795872,65.6,33.25,0.714057034142749,0.00386126056093117,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","unclassified"
"982a74bbad780f1063c5024106a33c77",0.00119305166709086,0.00109455163979284,1.08999121075426,10.2,37.5,0.717892723441687,0.00383568929893829,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","unclassified"
"7b8e163cc05041403b32ac5cd4021a49",0.00113896665818274,0.000748658607033536,1.52134316961339,54.8,32.5,0.721554528159074,0.00366180471738642,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Allobaculum","D_6__uncultured bacterium"
"a6ccec9ec008fe4a2f332209583c4012",0.00111669636039705,0.000989136229032852,1.12896113560507,45.4,55,0.72514473334288,0.00359020518380626,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Rikenellaceae","D_5__Alistipes","D_6__uncultured bacterium"
"def068dd21c3811005c71015994a5f35",0.00108170017816238,0.000799209753351814,1.35346218389582,200.4,187.5,0.728622424973917,0.00347769163103728,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","D_5__uncultured bacterium","D_6__"
"1f6f400a4c40ce9f7cea0e7145938045",0.00107056502926953,0.00080029385033895,1.33771492660617,46.2,35.25,0.732064316838165,0.00344189186424737,"D_0__Bacteria","D_1__Cyanobacteria","D_2__Melainabacteria","D_3__Gastranaerophilales","unclassified","unclassified","unclassified"
"9768f4f0abbfd085c5d14b4a6de521cd",0.00105783914482056,0.00123722115735396,0.855012168627123,16,25.25,0.735465294683223,0.00340097784505855,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Eubacterium] ruminantium group","D_6__uncultured bacterium"
"beb22bd9449c642546dacb826591c61b",0.00101966149147366,0.000649344657283518,1.57029318719481,12,42.25,0.738743530470716,0.00327823578749264,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","D_5__uncultured bacterium","D_6__"
"731f05b0a2cd5a295eed1bf67823ec44",0.000998981929244082,0.000601820970356213,1.65993207025138,41.4,15,0.741955280977027,0.00321175050631095,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 6","D_6__uncultured bacterium"
"aae5d0e8ab32fb8e0187af5ec9fbee32",0.000983074573682871,0.000944053394778384,1.04133365667696,70,51.5,0.745115888959352,0.00316060798232509,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"32582c5d5ac9feafb0e9f80bd54aeb9e",0.000962395011453296,0.000998728861983299,0.963619905348634,0,30.25,0.748210011660495,0.00309412270114362,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Allobaculum","D_6__uncultured bacterium"
"9e9a1d0b80c0d0fd810a4373f5673994",0.000956032069228811,0.000536396903499296,1.78232212563484,33.6,3.75,0.751283677352045,0.00307366569154921,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","unclassified"
"33ea9f7df7a02a6f06fb9700ed440401",0.000943306184779842,0.000606746794383325,1.55469496256438,40,45.25,0.754316429024405,0.0030327516723605,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"242a670b25767ef73b0da7cebea27a6b",0.000935352506999236,0.000712251734230375,1.3132330355221,67,60.5,0.757323609434773,0.00300718041036763,"D_0__Bacteria","D_1__Tenericutes","D_2__Mollicutes","D_3__Mollicutes RF9","unclassified","unclassified","unclassified"
"4f983ab505c9e0936ecafdda621aead9",0.000930580300330873,0.000567701311896381,1.63920759179208,64,49.75,0.760315447087945,0.0029918376531719,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides","unclassified"
"3fc481631a5a264273a814ee7d31bfbe",0.000906719266989056,0.000718959123807785,1.26115551908827,52,33.5,0.763230570955138,0.00291512386719306,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"242ac32c468ce07339cc123e4d4c39e8",0.000906719266989056,0.000691462150204149,1.31130715791364,27,25,0.766145694822331,0.00291512386719306,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","unclassified","unclassified"
"cea8327f011394ff7d6ef7e59c8f452a",0.000901947060320692,0.000684709086215778,1.31727047074187,24.6,34.25,0.769045475932328,0.00289978110999733,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides","D_6__uncultured bacterium"
"b44aff2995f396f00ad579d8e6684335",0.000895584118096208,0.0007416290783822,1.20759034967972,35,59.75,0.771924800032731,0.00287932410040304,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","D_5__uncultured bacterium","D_6__"
"208a08b90e13b04d2ef2f584535a2d39",0.000895584118096208,0.00054230343780794,1.65144466300319,32.4,46.75,0.774804124133134,0.00287932410040304,"D_0__Bacteria","D_1__Deferribacteres","D_2__Deferribacteres","D_3__Deferribacterales","D_4__Deferribacteraceae","D_5__Mucispirillum","D_6__uncultured bacterium"
"7421a0056850e30172e2c541c9215c11",0.000881267498091117,0.000669112854397958,1.31706855173788,52,70.5,0.77763741996195,0.00283329582881575,"D_0__Bacteria","D_1__Proteobacteria","D_2__Betaproteobacteria","D_3__Burkholderiales","D_4__Alcaligenaceae","D_5__Parasutterella","D_6__uncultured bacterium"
"7376eb30d4a59d2e35c4a558fa824a08",0.000870132349198269,0.000899398474684236,0.967460334534988,17.2,18.75,0.780434916023976,0.00279749606202562,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","unclassified","unclassified"
"003a296ba4c55f34d62c224bda66f5a9",0.000833545431407483,0.000508365153338995,1.63965886712075,26.2,0,0.783114784280834,0.00267986825685818,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","unclassified"
"e96399ddf8b8d77b2a54a77a0af3b64c",0.00080173072028506,0.00107501121205394,0.74578824043449,19.2,10,0.78569236748972,0.00257758320888657,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcus 1","unclassified"
"b18d8386f18d9d6bedd9d3d754cf6145",0.000795367778060575,0.000548915992640377,1.44897905822478,25,0,0.788249493689013,0.00255712619929216,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","unclassified"
"4d1032487368e0624607fdc781925dc9",0.000795367778060575,0.00101135074349583,0.78644108700737,25,0,0.790806619888305,0.00255712619929216,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","unclassified"
"bf7348b2028d96bee8686238f2bc5aa2",0.000768325273606516,0.000485056981077543,1.583989724052,56,52.75,0.793276803796821,0.00247018390851628,"D_0__Bacteria","D_1__Bacteroidetes","unclassified","unclassified","unclassified","unclassified","unclassified"
"b358d76cf51dad99d526470074e5f31c",0.00071901247136676,0.000719173971790472,0.999775436222602,22.6,0,0.795588445880981,0.00231164208416013,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","D_6__uncultured bacterium"
